date,sample_measurement
2021-01-01 07:00:00,
2021-01-04 07:00:00,
2021-01-07 07:00:00,
2021-01-10 07:00:00,4.6
2021-01-13 07:00:00,2.8
2021-01-16 07:00:00,4.2
2021-01-19 07:00:00,1.9
2021-01-22 07:00:00,3.7
2021-01-25 07:00:00,8.9
2021-01-28 07:00:00,9.6
2021-01-31 07:00:00,2.0
2021-02-03 07:00:00,4.1
2021-02-06 07:00:00,2.3
2021-02-09 07:00:00,8.6
2021-02-12 07:00:00,9.8
2021-02-15 07:00:00,
2021-02-18 07:00:00,
2021-02-21 07:00:00,1.2
2021-02-24 07:00:00,1.8
2021-02-27 07:00:00,3.1
2021-03-02 07:00:00,
2021-03-05 07:00:00,4.4
2021-03-08 07:00:00,5.9
2021-03-11 07:00:00,2.9
2021-03-14 07:00:00,1.7
2021-03-17 07:00:00,
2021-03-20 07:00:00,5.5
2021-03-23 07:00:00,
2021-03-26 07:00:00,2.8
2021-03-29 07:00:00,8.9
2021-04-01 07:00:00,5.2
2021-04-04 07:00:00,6.0
2021-04-07 07:00:00,3.6
2021-04-10 07:00:00,5.1
2021-04-13 07:00:00,3.9
2021-04-16 07:00:00,2.2
2021-04-21 07:00:00,
2021-04-22 07:00:00,5.5
2021-04-25 07:00:00,5.5
2021-04-28 07:00:00,
2021-05-01 07:00:00,
2021-05-04 07:00:00,
2021-05-07 07:00:00,
2021-05-10 07:00:00,
2021-05-13 07:00:00,
2021-05-16 07:00:00,
2021-05-19 07:00:00,
2021-05-22 07:00:00,4.7
2021-05-25 07:00:00,
2021-05-28 07:00:00,4.8
2021-05-31 07:00:00,
2021-06-03 07:00:00,
2021-06-06 07:00:00,4.7
2021-06-09 07:00:00,
2021-06-12 07:00:00,8.0
2021-06-15 07:00:00,9.2
2021-06-18 07:00:00,8.2
2021-06-21 07:00:00,
2021-06-24 07:00:00,
2021-06-27 07:00:00,
2021-06-30 07:00:00,
2021-07-03 07:00:00,
2021-07-06 07:00:00,
2021-07-07 17:38:00,
2021-07-09 07:00:00,
2021-07-12 07:00:00,
2021-07-15 07:00:00,
2021-07-18 07:00:00,6.9
2021-07-21 07:00:00,11.2
2021-07-24 07:00:00,13.2
2021-07-27 07:00:00,6.1
2021-07-30 07:00:00,8.4
2021-08-02 07:00:00,19.8
2021-08-05 07:00:00,20.7
2021-08-08 07:00:00,50.7
2021-08-11 07:00:00,19.1
2021-08-14 07:00:00,7.2
2021-08-17 07:00:00,18.8
2021-08-20 07:00:00,
2021-08-23 07:00:00,5.7
2021-08-26 07:00:00,
2021-08-29 07:00:00,9.6
2021-09-01 07:00:00,14.3
2021-09-04 07:00:00,6.4
2021-09-07 07:00:00,19.8
2021-09-10 07:00:00,17.4
2021-09-13 07:00:00,6.5
2021-09-16 07:00:00,6.3
2021-09-19 07:00:00,4.3
2021-09-22 07:00:00,4.8
2021-09-25 07:00:00,8.0
2021-09-28 07:00:00,6.5
2021-10-01 07:00:00,5.1
2021-10-04 07:00:00,6.1
2021-10-07 07:00:00,4.8
2021-10-10 07:00:00,5.0
2021-10-13 07:00:00,2.4
2021-10-16 07:00:00,5.1
2021-10-19 07:00:00,4.3
2021-10-22 07:00:00,6.3
2021-10-25 07:00:00,5.2
2021-10-28 07:00:00,4.2
2021-10-31 07:00:00,3.6
2021-11-03 07:00:00,7.0
2021-11-06 07:00:00,
2021-11-07 07:00:00,
2021-11-09 07:00:00,8.7
2021-11-12 07:00:00,6.5
2021-11-15 07:00:00,6.9
2021-11-18 07:00:00,7.5
2021-11-21 07:00:00,4.9
2021-11-24 07:00:00,4.9
2021-11-27 07:00:00,4.5
2021-11-30 07:00:00,7.7
2021-12-03 07:00:00,6.8
2021-12-06 17:03:00,
2021-12-09 07:00:00,
2021-12-12 07:00:00,5.0
2021-12-15 07:00:00,
2021-12-18 07:00:00,5.7
2021-12-21 07:00:00,3.4
2021-12-24 07:00:00,3.7
2021-12-27 07:00:00,3.0
2021-12-30 07:00:00,4.1
