date,sample_measurement
2017-01-01 07:00:00,4.7
2017-01-04 07:00:00,6.7
2017-01-07 17:01:00,
2017-01-10 07:00:00,2.1
2017-01-13 07:00:00,14.7
2017-01-16 07:00:00,6.5
2017-01-19 07:00:00,4.3
2017-01-22 07:00:00,3.2
2017-01-25 07:00:00,4.6
2017-01-28 07:00:00,3.2
2017-01-31 07:00:00,1.5
2017-02-03 07:00:00,7.3
2017-02-06 07:00:00,4.2
2017-02-09 07:00:00,3.0
2017-02-12 07:00:00,
2017-02-14 07:00:00,4.0
2017-02-15 07:00:00,4.5
2017-02-18 07:00:00,1.6
2017-02-21 07:00:00,1.1
2017-02-24 07:00:00,3.6
2017-02-27 07:00:00,4.0
2017-03-02 07:00:00,3.8
2017-03-05 07:00:00,4.8
2017-03-08 07:00:00,2.7
2017-03-11 07:00:00,4.7
2017-03-14 07:00:00,4.4
2017-03-17 07:00:00,4.2
2017-03-20 07:00:00,5.7
2017-03-23 07:00:00,20.3
2017-03-26 07:00:00,5.1
2017-03-29 07:00:00,2.3
2017-04-01 07:00:00,1.3
2017-04-04 07:00:00,2.8
2017-04-07 07:00:00,3.3
2017-04-10 07:00:00,3.6
2017-04-13 07:00:00,5.4
2017-04-16 07:00:00,4.2
2017-04-19 07:00:00,5.0
2017-04-22 07:00:00,2.7
2017-04-25 07:00:00,2.2
2017-04-28 17:45:00,2.2
2017-05-01 07:00:00,3.2
2017-05-04 07:00:00,3.8
2017-05-07 07:00:00,5.5
2017-05-10 07:00:00,2.9
2017-05-13 07:00:00,4.6
2017-05-16 07:00:00,6.0
2017-05-19 07:00:00,3.9
2017-05-22 07:00:00,5.2
2017-05-25 07:00:00,4.9
2017-05-28 07:00:00,3.6
2017-05-31 07:00:00,4.6
2017-06-03 07:00:00,
2017-06-06 07:00:00,9.5
2017-06-09 07:00:00,
2017-06-12 07:00:00,
2017-06-15 07:00:00,4.0
2017-06-16 07:00:00,5.3
2017-06-18 07:00:00,2.8
2017-06-21 07:00:00,5.5
2017-06-24 07:00:00,5.3
2017-06-27 07:00:00,6.0
2017-06-30 07:00:00,4.1
2017-07-03 07:00:00,9.7
2017-07-06 07:00:00,
2017-07-09 07:00:00,7.2
2017-07-12 07:00:00,6.9
2017-07-15 07:00:00,3.5
2017-07-18 07:00:00,5.2
2017-07-21 07:00:00,4.0
2017-07-24 07:00:00,7.0
2017-07-27 07:00:00,3.5
2017-07-30 07:00:00,3.7
2017-08-02 07:00:00,5.8
2017-08-05 07:00:00,8.2
2017-08-08 07:00:00,6.9
2017-08-11 07:00:00,5.2
2017-08-14 07:00:00,5.6
2017-08-17 07:00:00,5.6
2017-08-20 07:00:00,5.3
2017-08-23 07:00:00,6.1
2017-08-26 07:00:00,5.1
2017-08-29 07:00:00,9.9
2017-09-01 07:00:00,8.9
2017-09-04 07:00:00,38.5
2017-09-07 07:00:00,15.7
2017-09-10 07:00:00,6.2
2017-09-13 07:00:00,4.1
2017-09-16 07:00:00,5.0
2017-09-19 07:00:00,5.5
2017-09-22 07:00:00,5.6
2017-09-25 07:00:00,2.0
2017-09-28 07:00:00,3.2
2017-10-01 07:00:00,3.7
2017-10-04 07:00:00,4.2
2017-10-07 07:00:00,2.9
2017-10-10 07:00:00,3.3
2017-10-13 07:00:00,7.1
2017-10-16 07:00:00,4.2
2017-10-19 07:00:00,6.1
2017-10-22 07:00:00,2.9
2017-10-25 07:00:00,5.5
2017-10-28 07:00:00,4.4
2017-10-31 07:00:00,3.5
2017-11-03 07:00:00,5.7
2017-11-06 07:00:00,8.2
2017-11-09 07:00:00,10.7
2017-11-12 07:00:00,4.6
2017-11-15 07:00:00,6.1
2017-11-18 07:00:00,3.2
2017-11-21 07:00:00,2.9
2017-11-24 07:00:00,3.4
2017-11-27 07:00:00,4.6
2017-11-30 07:00:00,7.0
2017-12-03 07:00:00,5.0
2017-12-06 07:00:00,5.6
2017-12-09 07:00:00,5.6
2017-12-12 07:00:00,9.9
2017-12-15 07:00:00,8.0
2017-12-18 07:00:00,11.1
2017-12-21 07:00:00,5.7
2017-12-24 07:00:00,5.4
2017-12-27 07:00:00,10.9
2017-12-30 07:00:00,13.2
