date,sample_measurement
2018-01-02 07:00:00,12.0
2018-01-05 07:00:00,17.7
2018-01-08 07:00:00,14.3
2018-01-11 21:31:00,
2018-01-14 07:00:00,
2018-01-16 07:00:00,
2018-01-17 07:00:00,
2018-01-18 23:41:00,
2018-01-20 07:00:00,6.7
2018-01-23 07:00:00,
2018-01-26 07:00:00,
2018-01-29 07:00:00,12.8
2018-02-01 07:00:00,6.0
2018-02-04 07:00:00,8.2
2018-02-07 07:00:00,12.7
2018-02-10 07:00:00,6.4
2018-02-13 07:00:00,11.1
2018-02-16 07:00:00,6.7
2018-02-19 07:00:00,5.0
2018-02-22 07:00:00,38.2
2018-02-25 07:00:00,1.8
2018-02-28 07:00:00,7.4
2018-03-03 07:00:00,6.2
2018-03-06 07:00:00,2.5
2018-03-09 07:00:00,3.0
2018-03-12 07:00:00,7.4
2018-03-15 07:00:00,5.8
2018-03-18 07:00:00,3.8
2018-03-21 07:00:00,6.8
2018-03-24 07:00:00,2.4
2018-03-27 07:00:00,4.3
2018-03-30 07:00:00,7.1
2018-04-02 07:00:00,6.5
2018-04-05 07:00:00,6.1
2018-04-08 07:00:00,2.4
2018-04-11 07:00:00,5.9
2018-04-14 07:00:00,1.7
2018-04-17 07:00:00,10.0
2018-04-20 07:00:00,8.1
2018-04-23 07:00:00,5.4
2018-04-26 07:00:00,5.7
2018-04-29 07:00:00,7.0
2018-05-02 07:00:00,3.2
2018-05-05 07:00:00,6.7
2018-05-08 07:00:00,5.0
2018-05-11 07:00:00,8.5
2018-05-14 07:00:00,3.7
2018-05-17 07:00:00,11.3
2018-05-20 07:00:00,3.5
2018-05-23 07:00:00,
2018-05-25 07:00:00,7.3
2018-05-26 07:00:00,9.2
2018-05-29 07:00:00,4.0
2018-06-01 07:00:00,4.8
2018-06-04 07:00:00,
2018-06-07 21:02:00,
2018-06-10 07:00:00,8.5
2018-06-13 07:00:00,
2018-06-15 07:00:00,20.4
2018-06-16 07:00:00,12.8
2018-06-19 07:00:00,5.7
2018-06-22 07:00:00,20.0
2018-06-25 07:00:00,4.2
2018-06-28 07:00:00,10.3
2018-07-01 07:00:00,6.6
2018-07-04 07:00:00,9.7
2018-07-07 07:00:00,
2018-07-10 22:24:00,
2018-07-13 07:00:00,6.7
2018-07-16 12:30:00,
2018-07-19 07:00:00,8.5
2018-07-22 07:00:00,8.7
2018-07-25 07:00:00,6.6
2018-07-28 07:00:00,9.2
2018-07-31 07:00:00,6.9
2018-08-03 07:00:00,12.7
2018-08-06 07:00:00,8.2
2018-08-09 07:00:00,8.3
2018-08-12 07:00:00,14.0
2018-08-15 07:00:00,12.4
2018-08-18 07:00:00,7.5
2018-08-21 07:00:00,20.5
2018-08-24 07:00:00,26.8
2018-08-27 13:08:00,
2018-08-30 07:00:00,8.2
2018-09-02 07:00:00,6.0
2018-09-05 07:00:00,7.9
2018-09-08 07:00:00,4.7
2018-09-11 07:00:00,6.4
2018-09-14 07:00:00,8.0
2018-09-17 07:00:00,8.7
2018-09-20 07:00:00,6.0
2018-09-23 07:00:00,7.0
2018-09-26 07:00:00,5.8
2018-09-29 07:00:00,5.5
2018-10-02 07:00:00,6.1
2018-10-05 07:00:00,4.1
2018-10-08 07:00:00,0.8
2018-10-11 07:00:00,5.6
2018-10-14 07:00:00,4.2
2018-10-17 07:00:00,5.9
2018-10-20 07:00:00,5.4
2018-10-23 07:00:00,11.1
2018-10-26 07:00:00,6.1
2018-10-29 07:00:00,7.3
2018-11-01 07:00:00,4.4
2018-11-04 07:00:00,3.4
2018-11-07 07:00:00,5.5
2018-11-10 07:00:00,8.0
2018-11-13 07:00:00,7.7
2018-11-16 07:00:00,6.6
2018-11-19 07:00:00,10.5
2018-11-22 07:00:00,7.9
2018-11-25 07:00:00,2.1
2018-11-28 07:00:00,5.6
2018-12-01 07:00:00,4.8
2018-12-04 07:00:00,8.0
2018-12-07 07:00:00,15.8
2018-12-10 07:00:00,17.0
2018-12-13 07:00:00,4.1
2018-12-16 07:00:00,14.7
2018-12-19 07:00:00,2.1
2018-12-22 07:00:00,2.8
2018-12-25 07:00:00,10.5
2018-12-28 07:00:00,5.8
2018-12-31 07:00:00,5.1
